customer_number,ltv
customer_number,ltv
﻿AW00012132,13294
AW00012301,13294
AW00012308,13268
AW00012131,13265
AW00012300,13242
AW00012321,13215
AW00012124,13195
AW00012307,13172
AW00012296,13164
AW00011433,12914
AW00011439,12488
AW00011241,11468
AW00011417,11248
AW00011420,11200
AW00011242,11067
AW00012655,10899
AW00013263,10871
AW00012323,10836
AW00012333,10829
AW00012650,10813
AW00012631,10799
AW00012632,10793
AW00012332,10789
AW00013405,10778
AW00011245,10580
AW00011246,10575
AW00011237,10566
AW00011425,10528
AW00011429,10468
AW00011428,9954
AW00011427,9918
AW00011431,9913
AW00011423,9905
AW00011249,9890
AW00011412,9880
AW00014186,9796
AW00011421,9780
AW00013592,9695
AW00013605,9614
AW00014185,9524
AW00013575,9458
AW00014192,9452
AW00013577,9451
AW00014200,9422
AW00013595,9391
AW00011432,9330
AW00013257,8941
AW00013258,8886
AW00012128,8681
AW00012125,8595
AW00012129,8557
AW00013600,8460
AW00014427,8451
AW00015106,8421
AW00014775,8404
AW00014429,8394
AW00015692,8392
AW00015097,8377
AW00013602,8376
AW00013583,8375
AW00013581,8375
AW00013585,8368
AW00014939,8367
AW00014940,8367
AW00013584,8361
AW00014207,8361
AW00013591,8355
AW00014830,8346
AW00015691,8341
AW00014425,8332
AW00013576,8330
AW00014181,8326
AW00015695,8324
AW00014428,8321
AW00014183,8321
AW00011767,8319
AW00014426,8319
AW00014189,8317
AW00014195,8316
AW00014198,8308
AW00013590,8306
AW00015080,8305
AW00014191,8301
AW00015118,8301
AW00015354,8297
AW00011112,8295
AW00011766,8280
AW00012338,8265
AW00011101,8262
AW00011900,8257
AW00012003,8256
AW00011451,8250
AW00011995,8249
AW00011000,8249
AW00011058,8248
AW00011901,8248
AW00011109,8245
AW00011986,8245
AW00011120,8242
AW00011446,8237
AW00011443,8235
AW00011762,8228
AW00011456,8224
AW00011054,8223
AW00011894,8223
AW00011343,8222
AW00011099,8216
AW00011751,8215
AW00011904,8214
AW00011977,8213
AW00012039,8212
AW00011007,8211
AW00011457,8211
AW00011056,8207
AW00011918,8205
AW00011080,8204
AW00012010,8203
AW00011897,8203
AW00011004,8196
AW00012009,8195
AW00011147,8195
AW00011072,8194
AW00011341,8192
AW00011899,8189
AW00011117,8185
AW00011452,8183
AW00012000,8183
AW00011103,8182
AW00011093,8180
AW00011916,8179
AW00011898,8179
AW00011453,8177
AW00011104,8173
AW00011964,8173
AW00011450,8173
AW00011969,8173
AW00011919,8172
AW00011100,8172
AW00011107,8171
AW00011994,8169
AW00011077,8169
AW00011952,8169
AW00011055,8168
AW00011914,8166
AW00011472,8165
AW00011070,8165
AW00011990,8164
AW00011333,8163
AW00011754,8163
AW00011337,8162
AW00011394,8162
AW00011381,8161
AW00011076,8159
AW00011465,8158
AW00011095,8158
AW00011491,8158
AW00011905,8156
AW00011920,8156
AW00011334,8154
AW00011967,8153
AW00011060,8153
AW00011906,8151
AW00011895,8149
AW00011761,8149
AW00011750,8148
AW00012002,8145
AW00011482,8143
AW00011915,8143
AW00011765,8143
AW00011455,8142
AW00011459,8141
AW00011989,8140
AW00011768,8139
AW00011003,8139
AW00011460,8137
AW00012337,8137
AW00011111,8137
AW00011444,8136
AW00011907,8135
AW00011011,8133
AW00011448,8132
AW00011993,8131
AW00011052,8131
AW00011449,8130
AW00011764,8129
AW00011061,8129
AW00011124,8129
AW00011991,8128
AW00011464,8128
AW00011489,8127
AW00011108,8124
AW00011893,8123
AW00011992,8123
AW00011917,8121
AW00011005,8121
AW00011344,8119
AW00011006,8119
AW00011892,8119
AW00011896,8118
AW00011462,8116
AW00011002,8114
AW00011398,8114
AW00012004,8114
AW00012001,8113
AW00011910,8113
AW00011092,8110
AW00011903,8108
AW00011008,8106
AW00011909,8105
AW00011069,8104
AW00011097,8099
AW00011445,8098
AW00011105,8096
AW00011912,8095
AW00011110,8093
AW00011009,8091
AW00012302,8091
AW00011488,8090
AW00011461,8089
AW00011454,8089
